Row Labels,Count of winner
Chennai Super Kings,33
Delhi Capitals,3
Gujarat Titans,6
Kolkata Knight Riders,4
Lucknow Super Giants,4
Mumbai Indians,3
Punjab Kings,4
Rajasthan Royals,2
Royal Challengers Bengaluru,2
Sunrisers Hyderabad,5
Delhi Capitals,21
Chennai Super Kings,2
Gujarat Titans,5
Kolkata Knight Riders,2
Lucknow Super Giants,2
Mumbai Indians,3
Punjab Kings,3
Rajasthan Royals,1
Royal Challengers Bengaluru,1
Sunrisers Hyderabad,2
Gujarat Titans,27
Chennai Super Kings,2
Delhi Capitals,2
Kolkata Knight Riders,3
Lucknow Super Giants,4
Mumbai Indians,4
Punjab Kings,2
Rajasthan Royals,4
Royal Challengers Bengaluru,3
Sunrisers Hyderabad,3
Kolkata Knight Riders,27
Chennai Super Kings,2
Delhi Capitals,4
Gujarat Titans,1
Lucknow Super Giants,1
Mumbai Indians,5
Punjab Kings,1
Rajasthan Royals,3
Royal Challengers Bengaluru,5
Sunrisers Hyderabad,5
Lucknow Super Giants,32
Chennai Super Kings,1
Delhi Capitals,5
Gujarat Titans,3
Kolkata Knight Riders,5
Mumbai Indians,5
Punjab Kings,5
Rajasthan Royals,3
Royal Challengers Bengaluru,2
Sunrisers Hyderabad,3
Mumbai Indians,25
Chennai Super Kings,4
Delhi Capitals,4
Gujarat Titans,4
Kolkata Knight Riders,1
Lucknow Super Giants,3
Punjab Kings,3
Rajasthan Royals,3
Royal Challengers Bengaluru,2
Sunrisers Hyderabad,1
Punjab Kings,31
Chennai Super Kings,3
Delhi Capitals,3
Gujarat Titans,4
Kolkata Knight Riders,4
Lucknow Super Giants,1
Mumbai Indians,3
Rajasthan Royals,5
Royal Challengers Bengaluru,4
Sunrisers Hyderabad,4
Rajasthan Royals,29
Chennai Super Kings,4
Delhi Capitals,4
Gujarat Titans,4
Kolkata Knight Riders,3
Lucknow Super Giants,3
Mumbai Indians,3
Punjab Kings,2
Royal Challengers Bengaluru,3
Sunrisers Hyderabad,3
Royal Challengers Bengaluru,35
Chennai Super Kings,5
Delhi Capitals,5
Gujarat Titans,3
Kolkata Knight Riders,1
Lucknow Super Giants,4
Mumbai Indians,3
Punjab Kings,5
Rajasthan Royals,6
Sunrisers Hyderabad,3
Sunrisers Hyderabad,28
Chennai Super Kings,1
Delhi Capitals,3
Gujarat Titans,3
Kolkata Knight Riders,4
Lucknow Super Giants,3
Mumbai Indians,6
Punjab Kings,2
Rajasthan Royals,3
Royal Challengers Bengaluru,3
Grand Total,288
